Employee ID,Age,Attrition,BusinessTravel,Department,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,TotalWorkingYears,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DistanceFromHome
1,41,1,Travel_Rarely,Sales,Life Sciences,2,Female,3,2,4,Single,5993,Yes,8,1,6,4,0,5,1
2,49,0,Travel_Frequently,Research & Development,Life Sciences,3,Male,2,2,2,Married,5130,No,10,3,10,7,1,7,8
3,37,1,Travel_Rarely,Research & Development,Other,4,Male,2,1,3,Single,2090,Yes,7,3,0,0,0,0,2
4,33,0,Travel_Frequently,Research & Development,Life Sciences,4,Female,3,1,3,Married,2909,Yes,8,3,8,7,3,0,3
5,27,0,Travel_Rarely,Research & Development,Medical,1,Male,3,1,2,Married,3468,No,6,3,2,2,2,2,2
6,32,0,Travel_Frequently,Research & Development,Life Sciences,4,Male,3,1,4,Single,3068,No,8,2,7,7,3,6,2
7,59,0,Travel_Rarely,Research & Development,Medical,3,Female,4,1,1,Married,2670,Yes,12,2,1,0,0,0,3
8,30,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,1,3,Divorced,2693,No,1,3,1,0,0,0,24
9,38,0,Travel_Frequently,Research & Development,Life Sciences,4,Male,2,3,3,Single,9526,No,10,3,9,7,1,8,23
10,36,0,Travel_Rarely,Research & Development,Medical,3,Male,3,2,3,Married,5237,No,17,2,7,7,7,7,27
11,35,0,Travel_Rarely,Research & Development,Medical,1,Male,4,1,2,Married,2426,No,6,3,5,4,0,3,16
12,29,0,Travel_Rarely,Research & Development,Life Sciences,4,Female,2,2,3,Single,4193,Yes,10,3,9,5,0,8,15
13,31,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,3,1,3,Divorced,2911,No,5,2,5,2,4,3,26
14,34,0,Travel_Rarely,Research & Development,Medical,2,Male,3,1,4,Divorced,2661,No,3,3,2,2,1,2,19
15,28,1,Travel_Rarely,Research & Development,Life Sciences,3,Male,2,1,3,Single,2028,Yes,6,3,4,2,0,3,24
16,29,0,Travel_Rarely,Research & Development,Life Sciences,2,Female,4,3,1,Divorced,9980,No,10,3,10,9,8,8,21
17,32,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,4,1,2,Divorced,3298,Yes,7,2,6,2,0,5,5
18,22,0,Non-Travel,Research & Development,Medical,4,Male,4,1,4,Divorced,2935,Yes,1,2,1,0,0,0,16
19,53,0,Travel_Rarely,Sales,Life Sciences,1,Female,2,4,4,Married,15427,No,31,3,25,8,3,7,2
20,38,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,1,4,Single,3944,Yes,6,3,3,2,1,2,2
21,24,0,Non-Travel,Research & Development,Other,1,Female,4,2,3,Divorced,4011,No,5,2,4,2,1,3,11
22,36,1,Travel_Rarely,Sales,Life Sciences,3,Male,2,1,1,Single,3407,No,10,3,5,3,0,3,9
23,34,0,Travel_Rarely,Research & Development,Life Sciences,1,Female,3,3,2,Single,11994,No,13,3,12,6,2,11,7
24,21,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,4,Single,1232,No,0,3,0,0,0,0,15
25,34,1,Travel_Rarely,Research & Development,Medical,2,Male,3,1,1,Single,2960,No,8,3,4,2,1,3,6
26,53,0,Travel_Rarely,Research & Development,Other,3,Female,3,5,3,Divorced,19094,No,26,2,14,13,4,8,5
27,32,1,Travel_Frequently,Research & Development,Life Sciences,2,Female,1,1,1,Single,3919,Yes,10,3,10,2,6,7,16
28,42,0,Travel_Rarely,Sales,Marketing,3,Male,3,2,2,Married,6825,No,10,3,9,7,4,2,8
29,44,0,Travel_Rarely,Research & Development,Medical,1,Female,2,3,4,Married,10248,No,24,3,22,6,5,17,7
30,46,0,Travel_Rarely,Sales,Marketing,2,Female,3,5,1,Single,18947,No,22,2,2,2,2,1,2
31,33,0,Travel_Rarely,Research & Development,Medical,3,Male,3,1,4,Single,2496,No,7,3,1,1,0,0,2
32,44,0,Travel_Rarely,Research & Development,Other,4,Male,3,2,4,Married,6465,Yes,9,4,4,2,1,3,10
33,30,0,Travel_Rarely,Research & Development,Medical,4,Male,2,1,3,Single,2206,No,10,3,10,0,1,8,9
34,39,1,Travel_Rarely,Sales,Technical Degree,4,Male,3,2,4,Married,2086,No,19,4,1,0,0,0,5
35,24,1,Travel_Rarely,Research & Development,Medical,2,Male,3,1,4,Married,2293,Yes,6,2,2,0,2,0,1
36,43,0,Travel_Rarely,Research & Development,Medical,4,Female,4,1,3,Divorced,2645,No,6,2,5,3,1,4,2
37,50,1,Travel_Rarely,Sales,Marketing,1,Male,2,1,3,Married,2683,Yes,3,3,3,2,0,2,3
38,35,0,Travel_Rarely,Sales,Marketing,4,Female,3,1,4,Married,2014,No,2,3,2,2,2,2,2
39,36,0,Travel_Rarely,Research & Development,Life Sciences,2,Female,2,1,1,Married,3419,Yes,6,4,1,1,0,0,5
40,33,0,Travel_Frequently,Sales,Life Sciences,3,Female,4,2,1,Married,5376,No,10,3,5,3,1,3,1
41,35,0,Travel_Rarely,Research & Development,Other,3,Male,3,1,4,Divorced,1951,No,1,3,1,0,0,0,4
42,27,0,Travel_Rarely,Research & Development,Life Sciences,4,Female,3,1,1,Divorced,2341,No,1,3,1,0,0,0,2
43,26,1,Travel_Rarely,Research & Development,Life Sciences,1,Male,1,1,3,Single,2293,No,1,2,1,0,0,1,25
44,27,0,Travel_Frequently,Sales,Life Sciences,4,Male,3,3,3,Single,8726,No,9,3,9,8,1,7,8
45,30,0,Travel_Frequently,Research & Development,Medical,3,Female,3,2,4,Single,4011,No,12,3,12,8,3,7,1
46,41,1,Travel_Rarely,Research & Development,Technical Degree,2,Female,3,5,3,Married,19545,No,23,3,22,15,15,8,12
47,34,0,Non-Travel,Sales,Marketing,2,Male,3,2,3,Single,4568,No,10,3,9,5,8,7,23
48,37,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,3,1,2,Married,3022,No,8,3,1,0,0,0,19
49,46,0,Travel_Frequently,Sales,Marketing,1,Male,3,2,4,Single,5772,Yes,14,3,9,6,0,8,5
50,35,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,4,1,4,Married,2269,No,1,3,1,0,0,1,8
51,48,1,Travel_Rarely,Research & Development,Life Sciences,1,Male,2,3,3,Single,5381,Yes,23,3,1,0,0,0,1
52,28,1,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,1,3,Single,3441,Yes,2,2,2,2,2,2,5
53,44,0,Travel_Rarely,Sales,Marketing,2,Female,3,2,1,Divorced,5454,Yes,9,2,4,3,1,3,1
54,35,0,Non-Travel,Research & Development,Medical,3,Male,2,3,1,Married,9884,Yes,10,3,4,0,2,3,11
55,26,0,Travel_Rarely,Sales,Marketing,3,Female,2,2,4,Married,4157,Yes,5,2,2,2,0,0,23
56,33,0,Travel_Frequently,Research & Development,Life Sciences,1,Female,3,3,4,Single,13458,Yes,15,3,15,14,8,12,1
57,35,0,Travel_Frequently,Sales,Life Sciences,2,Male,3,3,1,Married,9069,No,9,2,9,8,1,8,18
58,35,0,Travel_Rarely,Research & Development,Medical,3,Female,3,1,1,Married,4014,Yes,4,3,2,2,2,2,23
59,31,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,2,4,Divorced,5915,No,10,2,7,7,1,7,7
60,37,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,2,2,3,Divorced,5993,No,7,4,7,5,0,7,1
61,32,0,Travel_Rarely,Research & Development,Medical,1,Male,3,2,4,Married,6162,Yes,9,3,9,8,7,8,1
62,38,0,Travel_Frequently,Research & Development,Life Sciences,4,Female,3,2,4,Single,2406,No,10,3,10,3,9,9,29
63,50,0,Travel_Rarely,Research & Development,Medical,2,Female,2,5,3,Divorced,18740,Yes,29,2,27,3,13,8,7
64,59,0,Travel_Rarely,Sales,Life Sciences,1,Female,3,3,1,Single,7637,No,28,2,21,16,7,9,25
65,36,0,Travel_Rarely,Research & Development,Technical Degree,3,Female,3,3,3,Divorced,10096,No,17,3,17,14,12,8,8
66,55,0,Travel_Rarely,Research & Development,Medical,4,Female,3,4,3,Divorced,14756,Yes,21,3,5,0,0,2,8
67,36,0,Travel_Frequently,Research & Development,Life Sciences,2,Male,2,2,2,Single,6499,No,6,3,6,5,0,3,11
68,45,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,3,3,1,Divorced,9724,No,25,3,1,0,0,0,7
69,35,0,Travel_Frequently,Research & Development,Medical,2,Male,3,1,1,Married,2194,No,5,2,3,2,1,2,1
70,36,1,Travel_Rarely,Research & Development,Medical,4,Male,2,1,3,Married,3388,Yes,2,2,1,0,0,0,9
71,59,0,Travel_Frequently,Sales,Life Sciences,1,Female,2,2,3,Single,5473,No,20,2,4,3,1,3,1
72,29,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,3,1,2,Married,2703,No,6,3,5,4,0,4,2
73,31,0,Travel_Rarely,Research & Development,Medical,3,Male,3,1,2,Single,2501,No,1,3,1,1,1,0,1
74,32,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,3,2,2,Married,6220,No,10,3,10,4,0,9,1
75,36,0,Travel_Rarely,Research & Development,Life Sciences,2,Female,4,1,4,Married,3038,No,5,3,1,0,0,0,6
76,31,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,3,2,4,Single,4424,No,11,3,11,7,1,8,8
77,35,0,Travel_Rarely,Sales,Marketing,3,Male,2,2,1,Single,4312,No,16,3,15,13,2,8,1
78,45,0,Travel_Rarely,Research & Development,Other,4,Male,3,3,1,Married,13245,Yes,17,4,0,0,0,0,6
79,37,0,Travel_Rarely,Research & Development,Medical,1,Male,3,3,3,Single,13664,No,16,4,5,2,0,2,7
80,46,0,Travel_Rarely,Human Resources,Medical,2,Male,3,2,2,Divorced,5021,Yes,16,3,4,2,0,2,5
81,30,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,2,2,4,Married,5126,Yes,10,2,10,8,3,0,1
82,35,0,Travel_Rarely,Research & Development,Medical,2,Male,2,1,3,Single,2859,No,6,3,6,4,0,4,1
83,55,0,Travel_Rarely,Sales,Life Sciences,1,Male,3,3,4,Married,10239,No,24,3,1,0,1,0,1
84,38,0,Non-Travel,Research & Development,Medical,2,Female,1,2,4,Divorced,5329,Yes,17,3,13,11,1,9,6
85,34,0,Travel_Rarely,Research & Development,Medical,1,Male,3,2,2,Married,4325,No,5,3,5,2,1,3,1
86,56,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,1,3,4,Single,7260,No,37,2,6,4,0,2,7
87,23,0,Travel_Rarely,Sales,Technical Degree,3,Male,3,1,1,Divorced,2322,No,3,3,0,0,0,0,2
88,51,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,1,4,Married,2075,No,10,3,4,2,0,3,9
89,30,0,Travel_Rarely,Research & Development,Life Sciences,3,Male,2,2,4,Married,4152,No,11,3,11,10,10,8,2
90,46,1,Travel_Rarely,Sales,Medical,3,Male,2,3,4,Single,9619,No,9,3,9,8,4,7,9
91,40,0,Travel_Frequently,Research & Development,Life Sciences,3,Male,2,4,2,Married,13503,No,22,2,22,3,11,11,1
92,51,0,Travel_Rarely,Sales,Marketing,3,Male,3,2,4,Single,5441,Yes,11,1,10,7,1,0,21
93,30,0,Travel_Rarely,Sales,Medical,3,Female,2,2,2,Divorced,5209,Yes,11,2,11,8,2,7,4
94,46,0,Travel_Frequently,Research & Development,Medical,3,Male,2,3,1,Married,10673,Yes,21,2,10,9,9,5,1
95,32,0,Travel_Rarely,Sales,Medical,2,Male,3,2,3,Single,5010,No,12,3,11,8,5,7,6
96,54,0,Travel_Rarely,Research & Development,Technical Degree,1,Female,3,3,3,Married,13549,No,16,1,4,3,0,3,2
97,24,0,Travel_Rarely,Sales,Other,1,Female,3,2,3,Married,4999,No,4,2,3,2,0,2,3
98,28,0,Non-Travel,Sales,Medical,2,Male,3,2,3,Married,4221,No,5,4,5,4,0,4,4
99,58,0,Travel_Rarely,Sales,Medical,4,Male,3,4,3,Single,13872,No,38,2,37,10,1,8,10
100,44,0,Non-Travel,Research & Development,Medical,2,Male,3,2,2,Married,2042,No,17,4,3,2,1,2,23
101,37,1,Travel_Rarely,Human Resources,Human Resources,3,Male,3,1,1,Divorced,2073,Yes,7,3,3,2,0,2,6
102,32,0,Travel_Rarely,Research & Development,Life Sciences,4,Male,3,1,1,Single,2956,No,1,3,1,0,0,0,1
103,20,1,Travel_Frequently,Research & Development,Life Sciences,4,Female,2,1,4,Single,2926,Yes,1,3,1,0,1,0,6
104,34,0,Travel_Rarely,Research & Development,Other,1,Female,3,2,3,Single,4809,No,16,3,16,13,2,10,6
105,37,0,Non-Travel,Research & Development,Life Sciences,3,Male,2,2,4,Divorced,5163,No,17,4,1,0,0,0,2
106,59,0,Non-Travel,Human Resources,Human Resources,3,Female,2,5,4,Married,18844,No,30,3,3,2,2,2,2
107,50,0,Travel_Frequently,Research & Development,Life Sciences,1,Female,3,5,2,Married,18172,Yes,28,2,8,3,0,7,1
108,25,1,Travel_Rarely,Sales,Marketing,3,Male,2,2,3,Single,5744,Yes,6,3,6,4,0,3,5
109,25,0,Travel_Rarely,Research & Development,Medical,4,Male,2,1,4,Married,2889,No,2,3,2,2,2,1,7
110,22,0,Travel_Rarely,Research & Development,Medical,2,Female,3,1,4,Single,2871,No,1,3,0,0,0,0,15
111,51,0,Travel_Frequently,Research & Development,Medical,1,Female,2,3,1,Single,7484,No,23,2,13,12,12,8,1
112,34,1,Travel_Frequently,Research & Development,Life Sciences,1,Male,1,2,3,Single,6074,Yes,9,3,9,7,0,6,7
113,54,0,Non-Travel,Human Resources,Human Resources,4,Female,4,4,4,Single,17328,Yes,23,3,5,3,4,4,26
114,24,0,Travel_Rarely,Research & Development,Life Sciences,2,Male,3,1,3,Married,2774,No,6,3,5,3,1,2,18
115,34,0,Travel_Rarely,Research & Development,Life Sciences,3,Female,2,2,2,Divorced,4505,No,12,3,1,0,0,0,6
116,37,0,Travel_Rarely,Sales,Life Sciences,3,Male,3,3,4,Single,7428,No,12,3,5,3,1,3,3
117,34,0,Travel_Rarely,Research & Development,Medical,3,Female,2,3,1,Single,11631,No,14,3,11,10,5,8,5
118,36,0,Travel_Frequently,Sales,Technical Degree,2,Female,3,3,4,Married,9738,No,10,3,9,7,2,8,11
119,36,0,Travel_Rarely,Research & Development,Life Sciences,1,Female,3,1,4,Divorced,2835,No,7,3,1,0,0,0,3
120,43,0,Travel_Frequently,Sales,Life Sciences,3,Male,3,4,4,Married,16959,Yes,25,4,25,12,4,12,26
121,30,0,Travel_Frequently,Research & Development,Life Sciences,1,Male,1,1,3,Divorced,2613,No,10,2,10,7,0,9,23
122,33,0,Non-Travel,Sales,Marketing,3,Male,3,2,2,Married,6146,No,8,4,7,7,0,7,22
123,56,1,Travel_Rarely,Research & Development,Life Sciences,2,Female,3,1,2,Married,4963,Yes,7,3,5,4,4,3,14
124,51,0,Travel_Rarely,Research & Development,Life Sciences,1,Male,3,5,3,Single,19537,No,23,3,20,18,15,15,6
125,31,1,Travel_Rarely,Sales,Life Sciences,2,Male,1,2,3,Married,6172,Yes,12,2,7,7,7,7,6
126,26,0,Travel_Rarely,Research & Development,Other,3,Female,2,1,2,Married,2368,No,5,2,5,4,4,3,6
127,58,1,Travel_Rarely,Research & Development,Medical,4,Female,3,3,4,Married,10312,No,40,2,40,10,15,6,23
128,19,1,Travel_Rarely,Sales,Marketing,4,Male,3,1,3,Single,1675,Yes,0,2,0,0,0,0,22
129,22,0,Travel_Rarely,Research & Development,Technical Degree,3,Male,3,1,4,Married,2523,No,3,3,2,1,2,1,2
130,49,0,Travel_Rarely,Research & Development,Medical,3,Female,3,2,1,Married,6567,No,16,2,15,11,5,11,20
131,43,0,Travel_Frequently,Research & Development,Medical,2,Female,4,1,3,Single,4739,No,18,3,3,2,1,2,28
132,50,0,Travel_Frequently,Sales,Marketing,3,Female,3,3,4,Single,9208,No,16,3,2,2,2,1,12
133,31,1,Travel_Rarely,Sales,Life Sciences,2,Female,1,2,3,Married,4559,Yes,4,3,2,2,2,2,20
134,41,0,Travel_Rarely,Sales,Life Sciences,3,Male,3,3,3,Divorced,8189,Yes,12,3,9,7,0,7,9
135,26,0,Travel_Rarely,Human Resources,Life Sciences,3,Female,3,1,3,Married,2942,No,8,3,8,7,5,7,25
136,36,0,Travel_Rarely,Research & Development,Medical,2,Male,3,2,2,Divorced,4941,No,7,3,3,2,0,1,6
137,51,1,Travel_Frequently,Research & Development,Life Sciences,1,Male,1,3,4,Single,10650,No,18,3,4,2,0,3,8
138,39,0,Travel_Rarely,Sales,Life Sciences,4,Female,2,2,3,Married,5902,No,17,4,15,11,5,9,4
139,25,0,Travel_Rarely,Sales,Life Sciences,1,Male,2,2,3,Married,8639,No,6,3,2,2,2,2,28
